"","X","idnum","state","state2","stfips","zip","region","typebldg","floor","room","basement","windoor","rep","stratum","wave","starttm","stoptm","startdt","stopdt","activity","pcterr","adjwt","dupflag","zipflag","cntyfips","county","fips","Uppm","county_code","log_radon"
"27",26,5107,"MN","MN",27,55303,3,1,0,2,"Y",NA,3,2,43,1730,1730,11688,11888,6.8,4.9,433.316718,0,0,3,"ANOKA",27003,0.428565,2,1.93152141160321
"28",27,5108,"MN","MN",27,55303,3,1,0,4,"Y",NA,1,2,41,1750,1645,12888,13088,7,4.6,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.96009478404727
"29",28,5109,"MN","MN",27,55303,3,1,0,7,"Y",NA,2,2,44,2210,2210,20288,20288,7.7,4.5,461.62367,0,0,3,"ANOKA",27003,0.428565,2,2.05412373369555
"30",29,5110,"MN","MN",27,55303,3,1,0,4,"Y",NA,1,2,48,1700,1700,20288,20288,5.2,4.8,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.66770682055808
"31",30,5111,"MN","MN",27,55303,3,1,0,2,"Y",NA,2,2,48,1530,1530,21388,21588,4.5,5.9,461.62367,1,0,3,"ANOKA",27003,0.428565,2,1.52605630349505
"32",31,5112,"MN","MN",27,55303,3,1,0,2,"Y",NA,5,2,48,1830,1830,20288,20288,4.4,7.2,471.366223,0,0,3,"ANOKA",27003,0.428565,2,1.50407739677627
"33",32,5113,"MN","MN",27,55303,3,1,0,2,"Y",NA,1,2,2,2030,2030,22688,22888,2.8,8.4,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.06471073699243
"34",33,5114,"MN","MN",27,55303,3,1,0,4,"Y",NA,3,2,4,1501,1500,31888,32088,8.1,8.7,433.316718,0,0,3,"ANOKA",27003,0.428565,2,2.10413415427021
"35",34,5115,"MN","MN",27,55303,3,0,0,0," ",NA,3,2,2,800,900,30388,31188,1.6,12.8,433.316718,0,0,3,"ANOKA",27003,0.428565,2,0.53062825106217
"36",35,5116,"MN","MN",27,55304,3,1,0,0,"Y",NA,3,2,22,1905,1325,120287,121187,4.2,9.5,433.316718,0,0,3,"ANOKA",27003,0.428565,2,1.45861502269952
"37",36,5117,"MN","MN",27,55304,3,0,0,0," ",NA,1,2,23,2040,2230,32288,32688,5.4,10.2,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.70474809223843
"38",37,5118,"MN","MN",27,55304,3,1,0,2,"Y",NA,1,2,28,1600,1815,121387,121587,4,9.9,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.41098697371026
"39",38,5119,"MN","MN",27,55304,3,1,0,4,"Y",NA,5,2,34,1003,1003,11488,11688,2.3,10.1,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.8754687373539
"40",39,5120,"MN","MN",27,55304,3,1,0,4,"Y",NA,1,2,40,810,600,20288,20288,2.9,9,485.435931,0,0,3,"ANOKA",27003,0.428565,2,1.09861228866811
"41",40,5121,"MN","MN",27,55304,3,1,0,4,"Y",NA,1,2,38,900,900,20288,20288,1.4,21.6,485.435931,0,0,3,"ANOKA",27003,0.428565,2,0.405465108108164
"42",41,5122,"MN","MN",27,55304,3,1,0,4,"Y",NA,3,2,46,2300,2300,12688,12888,3.3,8.4,433.316718,0,0,3,"ANOKA",27003,0.428565,2,1.22377543162212
"43",42,5123,"MN","MN",27,55304,3,1,0,4,"Y",NA,3,2,49,715,735,20288,20288,2.9,8.8,433.316718,0,0,3,"ANOKA",27003,0.428565,2,1.09861228866811
"44",43,5124,"MN","MN",27,55304,3,1,1,3,"Y",NA,2,2,49,1715,1540,32688,32888,1.8,32,461.62367,0,0,3,"ANOKA",27003,0.428565,2,0.641853886172395
"45",44,5125,"MN","MN",27,55304,3,1,1,3,"N",NA,2,2,2,1730,1730,22388,22588,0.2,0,461.62367,0,0,3,"ANOKA",27003,0.428565,2,-1.20397280432594
"46",45,5126,"MN","MN",27,55421,3,1,0,2,"Y",NA,1,5,21,1217,1220,120287,121087,2.4,14.1,2116.561544,0,0,3,"ANOKA",27003,0.428565,2,0.916290731874155
"47",46,5127,"MN","MN",27,55421,3,5,1,3,"N",NA,2,5,36,2230,2230,10188,10188,1.1,24,2246.96884,0,0,3,"ANOKA",27003,0.428565,2,0.182321556793955
"48",47,5128,"MN","MN",27,55432,3,1,0,7,"Y",NA,5,5,26,945,945,121687,121887,2.2,10.7,2179.503255,0,0,3,"ANOKA",27003,0.428565,2,0.832909122935104
"49",48,5129,"MN","MN",27,55432,3,1,0,2,"Y",NA,3,5,43,800,804,12388,12588,0.6,24,2119.396234,0,0,3,"ANOKA",27003,0.428565,2,-0.356674943938732
"50",49,5130,"MN","MN",27,55432,3,1,0,4,"Y",NA,4,5,4,2115,2030,22988,30388,1.7,20.8,2314.365189,0,0,3,"ANOKA",27003,0.428565,2,0.587786664902119
"51",50,5131,"MN","MN",27,55433,3,0,0,0," ",NA,1,5,33,845,1000,12188,12388,2.9,7.3,2116.561544,0,0,3,"ANOKA",27003,0.428565,2,1.09861228866811
"52",51,5132,"MN","MN",27,55433,3,1,0,4,"Y",NA,2,5,50,2200,2200,20288,20288,2.2,10,2246.96884,0,0,3,"ANOKA",27003,0.428565,2,0.832909122935104
"53",52,5133,"MN","MN",27,55434,3,1,0,2,"Y",NA,5,5,33,1815,1815,122787,122987,1.7,20,2179.503255,0,0,3,"ANOKA",27003,0.428565,2,0.587786664902119
"54",53,5134,"MN","MN",27,55434,3,1,0,2,"Y",NA,4,5,38,1600,1600,11388,11588,1.4,18.8,2314.365189,0,0,3,"ANOKA",27003,0.428565,2,0.405465108108164
"55",54,5135,"MN","MN",27,55434,3,1,0,2,"Y",NA,1,5,40,1100,1110,11888,12088,1.9,10.4,2116.561544,0,0,3,"ANOKA",27003,0.428565,2,0.693147180559945
"56",55,5136,"MN","MN",27,55434,3,1,0,4,"Y",NA,2,5,38,1515,1515,12988,13188,1.8,12.2,2246.96884,0,0,3,"ANOKA",27003,0.428565,2,0.641853886172395
"57",56,5137,"MN","MN",27,56501,2,1,1,3,"Y",NA,5,3,25,1215,1330,121487,121687,1.2,22.7,893.23743,0,0,5,"BECKER",27005,0.892741,3,0.262364264467491
"58",57,5138,"MN","MN",27,56501,2,1,0,2,"Y",NA,3,3,41,2025,2100,11788,11988,4.3,9.1,1071.318034,0,0,5,"BECKER",27005,0.892741,3,1.48160454092422
"59",58,5139,"MN","MN",27,56544,2,1,1,3,"N",NA,3,3,44,1000,1000,12188,12388,4.5,6,1071.318034,0,0,5,"BECKER",27005,0.892741,3,1.52605630349505
"60",59,5140,"MN","MN",27,56601,2,1,0,4,"Y",NA,4,3,31,1320,1605,122087,122287,6.3,6.9,990.411554,0,0,7,"BELTRAMI",27007,0.552472,4,1.85629799036563
"61",60,5141,"MN","MN",27,56601,2,1,0,2,"Y",NA,2,3,32,1430,1900,122887,123087,4.6,7.2,921.864905,0,0,7,"BELTRAMI",27007,0.552472,4,1.54756250871601
"62",61,5142,"MN","MN",27,56601,2,1,0,4,"Y",NA,1,3,2,1300,1300,22388,22588,5.7,5.4,1024.442902,0,0,7,"BELTRAMI",27007,0.552472,4,1.75785791755237
"63",62,5143,"MN","MN",27,56647,2,1,1,3,"Y",NA,2,3,40,1000,1000,11888,12088,2.2,8.2,921.864905,2,0,7,"BELTRAMI",27007,0.552472,4,0.832909122935104
"64",63,5144,"MN","MN",27,56676,2,1,1,3,"N",NA,1,3,26,1400,1900,121287,121787,0.4,0,1024.442902,0,0,7,"BELTRAMI",27007,0.552472,4,-0.693147180559945
"65",64,5145,"MN","MN",27,56683,2,1,1,1,"N",NA,1,3,42,1100,1100,11788,11988,4.6,6.7,1024.442902,0,0,7,"BELTRAMI",27007,0.552472,4,1.54756250871601
"66",65,5146,"MN","MN",27,56727,2,1,1,7,"Y",NA,2,1,38,1315,1315,11288,11488,4.4,8.3,348.042925,2,0,7,"BELTRAMI",27007,0.552472,4,1.50407739677627
"67",66,5147,"MN","MN",27,56329,5,1,0,2,"Y",NA,4,4,45,930,940,13188,20288,6.6,4.6,1177.377355,0,0,9,"BENTON",27009,0.866849,5,1.90210752639692
"68",67,5148,"MN","MN",27,56379,5,1,0,4,"Y",NA,5,3,40,1110,2130,11888,12088,2.7,9.8,893.23743,0,0,9,"BENTON",27009,0.866849,5,1.02961941718116
"69",68,5149,"MN","MN",27,56379,5,1,1,3,"N",NA,2,3,4,1830,1830,22888,30388,2.9,11.4,921.864905,0,0,9,"BENTON",27009,0.866849,5,1.09861228866811
"70",69,5150,"MN","MN",27,56379,5,1,0,4,"Y",NA,4,3,4,1500,1500,22888,30388,2.9,7.3,990.411554,0,0,9,"BENTON",27009,0.866849,5,1.09861228866811
"71",70,5151,"MN","MN",27,56225,5,1,0,4,"Y",NA,1,4,21,1300,710,120287,121187,7.2,5.3,1088.985661,0,0,11,"BIG STONE",27011,1.47264,6,1.98787434815435
"72",71,5152,"MN","MN",27,56225,5,1,0,4,"Y",NA,4,4,36,1400,1400,122887,123087,5,7.3,1177.377355,0,0,11,"BIG STONE",27011,1.47264,6,1.62924053973028
"73",72,5153,"MN","MN",27,56225,5,1,0,5,"Y",NA,5,4,4,2300,615,30388,30388,2.6,9.3,1105.956867,0,0,11,"BIG STONE",27011,1.47264,6,0.993251773010283
"74",73,5154,"MN","MN",27,56001,4,1,0,7,"Y",NA,5,3,31,1730,1730,10188,10188,5,6.8,893.23743,0,0,13,"BLUE EARTH",27013,1.31208,7,1.62924053973028
"75",74,5155,"MN","MN",27,56001,4,1,0,4,"Y",NA,2,3,32,2100,2100,122687,122887,13,3,921.864905,0,0,13,"BLUE EARTH",27013,1.31208,7,2.57261223020711
"76",75,5156,"MN","MN",27,56001,4,1,0,4,"Y",NA,4,3,34,812,844,123187,10188,7.2,4.4,990.411554,0,0,13,"BLUE EARTH",27013,1.31208,7,1.98787434815435
"77",76,5157,"MN","MN",27,56001,4,1,0,4,"Y",NA,3,3,38,1900,700,31688,31988,6.8,4.9,1071.318034,0,0,13,"BLUE EARTH",27013,1.31208,7,1.93152141160321
"78",77,5158,"MN","MN",27,56001,4,1,0,4,"Y",NA,5,3,45,1800,1800,12688,12888,12.8,5.4,893.23743,0,0,13,"BLUE EARTH",27013,1.31208,7,2.55722731136763
"79",78,5159,"MN","MN",27,56001,4,2,1,3,"Y",NA,1,3,47,1930,1930,20288,20288,5.8,5.9,1024.442902,0,0,13,"BLUE EARTH",27013,1.31208,7,1.77495235091167
"80",79,5160,"MN","MN",27,56001,4,1,0,4,"Y",NA,2,3,47,820,1045,20288,20288,9.5,3.8,921.864905,1,0,13,"BLUE EARTH",27013,1.31208,7,2.26176309847379
"81",80,5161,"MN","MN",27,56001,4,1,0,7,"Y",NA,4,3,47,1300,1301,20288,20288,6,5.6,990.411554,0,0,13,"BLUE EARTH",27013,1.31208,7,1.80828877117927
"82",81,5162,"MN","MN",27,56001,4,1,0,7,"Y",NA,5,3,48,2010,2025,20288,20288,3.8,7.6,893.23743,0,0,13,"BLUE EARTH",27013,1.31208,7,1.3609765531356
"83",82,5163,"MN","MN",27,56001,4,1,1,3,"Y",NA,1,3,3,2030,2030,22788,30388,14.3,2.9,1024.442902,0,0,13,"BLUE EARTH",27013,1.31208,7,2.66722820658195
"84",83,5164,"MN","MN",27,56010,4,1,0,4,"Y",NA,5,3,22,800,800,121287,121487,1.8,13.2,893.23743,0,0,13,"BLUE EARTH",27013,1.31208,7,0.641853886172395
"85",84,5165,"MN","MN",27,56055,4,1,0,2,"Y",NA,3,3,28,1230,1230,121687,121887,6.9,5.1,1071.318034,0,0,13,"BLUE EARTH",27013,1.31208,7,1.94591014905531
"86",85,5166,"MN","MN",27,56055,4,1,0,0," ",NA,5,3,38,1300,1257,10188,11188,4.7,5.1,893.23743,0,0,13,"BLUE EARTH",27013,1.31208,7,1.56861591791385
"87",86,5167,"MN","MN",27,56055,4,1,0,4,"Y",NA,1,3,48,1800,1800,22988,30388,9.5,4.3,1024.442902,0,0,13,"BLUE EARTH",27013,1.31208,7,2.26176309847379
"88",87,5168,"MN","MN",27,56073,4,1,1,0,"Y",NA,2,3,33,715,715,122987,123187,2.5,9.8,921.864905,0,0,15,"BROWN",27015,1.31993,8,0.955511445027436
"89",88,5169,"MN","MN",27,56073,4,1,0,4,"Y",NA,1,3,33,730,730,122787,122987,6.7,3.9,1024.442902,0,0,15,"BROWN",27015,1.31993,8,1.91692261218206
"90",89,5170,"MN","MN",27,56073,4,1,1,3,"Y",NA,3,3,33,830,830,11188,11388,4,5.4,1071.318034,0,0,15,"BROWN",27015,1.31993,8,1.41098697371026
"91",90,5171,"MN","MN",27,56073,4,1,0,2,"Y",NA,5,3,38,1247,2221,12288,12488,10.1,5.8,893.23743,0,0,15,"BROWN",27015,1.31993,8,2.32238772029023
"92",91,5172,"MN","MN",27,55720,5,1,0,1,"Y",NA,3,4,25,600,600,10188,10188,2.2,8.7,1214.922779,0,0,17,"CARLTON",27017,0.717261,9,0.832909122935104
"93",92,5173,"MN","MN",27,55720,5,1,0,0,"Y",NA,2,4,34,930,930,10188,10188,1.8,11.3,1146.49919,0,0,17,"CARLTON",27017,0.717261,9,0.641853886172395
"94",93,5174,"MN","MN",27,55720,5,1,0,2,"Y",NA,4,4,34,1700,1700,122287,122487,3.4,9.6,1177.377355,0,0,17,"CARLTON",27017,0.717261,9,1.25276296849537
"95",94,5175,"MN","MN",27,55720,5,1,1,7,"Y",NA,1,4,37,1400,2000,121887,122087,5.6,28.9,1088.985661,0,0,17,"CARLTON",27017,0.717261,9,1.7404661748405
"96",95,5176,"MN","MN",27,55720,5,1,0,4,"Y",NA,4,2,37,1930,1930,122687,122887,4.3,10.8,461.274696,0,0,17,"CARLTON",27017,0.717261,9,1.48160454092422
"97",96,5177,"MN","MN",27,55720,5,1,0,2,"Y",NA,5,4,48,630,630,20288,20288,3.9,8,1105.956867,0,0,17,"CARLTON",27017,0.717261,9,1.38629436111989
"98",97,5178,"MN","MN",27,55733,5,1,0,2,"Y",NA,3,4,23,1620,1620,121287,121487,1.3,14.4,1214.922779,0,0,17,"CARLTON",27017,0.717261,9,0.336472236621213
"99",98,5179,"MN","MN",27,55733,5,1,0,2,"Y",NA,2,4,25,1820,1845,121287,121487,4.2,6.5,1146.49919,0,0,17,"CARLTON",27017,0.717261,9,1.45861502269952
"100",99,5180,"MN","MN",27,55757,5,1,0,4,"Y",NA,3,4,22,1730,1730,121187,121487,0.8,23.4,1214.922779,0,0,17,"CARLTON",27017,0.717261,9,-0.105360515657826
"101",100,5181,"MN","MN",27,55797,5,1,0,4,"Y",NA,4,4,46,800,800,12788,12988,2,16.7,1177.377355,0,0,17,"CARLTON",27017,0.717261,9,0.741937344729377
"102",101,5182,"MN","MN",27,55318,5,1,0,4,"Y",NA,4,4,39,1905,1905,11888,12088,1.6,15.9,1177.377355,0,0,19,"CARVER",27019,1.10061,10,0.53062825106217
"103",102,5183,"MN","MN",27,55318,5,1,0,4,"Y",NA,1,4,45,1800,1800,22488,22688,12.9,3.4,1088.985661,0,0,19,"CARVER",27019,1.10061,10,2.56494935746154
"104",103,5184,"MN","MN",27,55318,5,1,1,1,"Y",NA,5,4,2,2130,2130,22388,22588,14.7,3.1,1105.956867,0,0,19,"CARVER",27019,1.10061,10,2.69462718077007
"105",104,5185,"MN","MN",27,55368,5,1,1,7,"Y",NA,4,4,38,1610,1615,31588,31788,4.7,16,1177.377355,0,0,19,"CARVER",27019,1.10061,10,1.56861591791385
"106",105,5186,"MN","MN",27,55388,5,1,0,4,"Y",NA,4,4,26,1830,1830,121487,121687,9.6,5.2,1177.377355,1,0,19,"CARVER",27019,1.10061,10,2.27212588550934
"107",106,5187,"MN","MN",27,55388,5,1,1,3,"Y",NA,1,4,48,900,900,20288,20288,0,0,1088.985661,0,0,19,"CARVER",27019,1.10061,10,-2.30258509299405
"108",107,5188,"MN","MN",27,56401,2,1,0,4,"Y",NA,2,3,39,1300,1300,11388,11588,3.7,8,921.864905,0,0,21,"CASS",27021,0.544319,11,1.33500106673234
"109",108,5189,"MN","MN",27,56433,2,1,0,4,"Y",NA,1,3,29,800,800,121987,122187,7.4,6.8,1024.442902,0,0,21,"CASS",27021,0.544319,11,2.01490302054226
"110",109,5190,"MN","MN",27,56452,2,1,0,2,"Y",NA,1,3,31,930,930,10188,10188,1.9,11.8,1024.442902,0,0,21,"CASS",27021,0.544319,11,0.693147180559945
"111",110,5191,"MN","MN",27,56473,2,1,0,7,"Y",NA,1,3,1,1730,2030,30388,30388,5.3,6.8,1024.442902,0,0,21,"CASS",27021,0.544319,11,1.68639895357023
"112",111,5192,"MN","MN",27,56474,2,1,0,4,"Y",NA,4,3,48,1350,1350,20288,20288,4,6.7,990.411554,0,0,21,"CASS",27021,0.544319,11,1.41098697371026
"113",112,5193,"MN","MN",27,56222,5,1,0,2,"Y",NA,1,4,32,1430,1130,10188,10188,7.7,3.9,1088.985661,0,0,23,"CHIPPEWA",27023,1.3148,12,2.05412373369555
"114",113,5194,"MN","MN",27,56265,5,1,0,2,"Y",NA,5,4,25,1700,1700,122687,122887,1.4,14,1105.956867,0,0,23,"CHIPPEWA",27023,1.3148,12,0.405465108108164
"115",114,5195,"MN","MN",27,56265,5,1,0,2,"Y",NA,2,4,43,1000,1000,12188,12488,10,3.2,1146.49919,0,0,23,"CHIPPEWA",27023,1.3148,12,2.31253542384721
"116",115,5196,"MN","MN",27,56265,5,1,0,4,"Y",NA,1,4,4,1330,1345,22788,22988,9.4,3.7,1088.985661,0,0,23,"CHIPPEWA",27023,1.3148,12,2.2512917986065
"117",116,5197,"MN","MN",27,55025,5,1,0,4,"Y",NA,4,2,24,730,730,121487,121687,0.8,19.2,461.274696,0,0,25,"CHISAGO",27025,0.479352,13,-0.105360515657826
"118",117,5198,"MN","MN",27,55032,5,1,0,2,"Y",NA,2,4,27,1845,2000,121487,121687,4.4,7.7,1146.49919,0,0,25,"CHISAGO",27025,0.479352,13,1.50407739677627
"119",118,5199,"MN","MN",27,55045,5,1,0,4,"Y",NA,5,4,35,1100,1100,122787,122987,5,8.6,1105.956867,0,0,25,"CHISAGO",27025,0.479352,13,1.62924053973028
"120",119,5200,"MN","MN",27,55045,5,1,0,2,"Y",NA,5,4,36,1330,1330,122687,122887,2.1,11,1105.956867,0,0,25,"CHISAGO",27025,0.479352,13,0.78845736036427
"121",120,5201,"MN","MN",27,55056,5,1,0,4,"Y",NA,2,4,46,1000,1000,13088,20288,1.7,11.5,1146.49919,0,0,25,"CHISAGO",27025,0.479352,13,0.587786664902119
"122",121,5202,"MN","MN",27,55092,5,1,0,2,"Y",NA,5,4,29,1800,1800,11088,11288,8.1,4,1105.956867,1,0,25,"CHISAGO",27025,0.479352,13,2.10413415427021
"123",122,5203,"MN","MN",27,56514,2,0,1,0," ",NA,3,3,22,1700,1700,120287,121087,0.9,26.5,1071.318034,0,0,27,"CLAY",27027,1.41027,14,0
"124",123,5204,"MN","MN",27,56514,2,1,0,2,"Y",NA,5,3,40,1815,2015,12088,12288,12.9,6.9,893.23743,0,0,27,"CLAY",27027,1.41027,14,2.56494935746154
"125",124,5205,"MN","MN",27,56529,2,1,0,4,"Y",NA,4,3,45,2000,2030,13088,20288,2.6,8.9,990.411554,0,0,27,"CLAY",27027,1.41027,14,0.993251773010283
"126",125,5206,"MN","MN",27,56547,2,1,1,3," ",NA,5,3,22,930,930,120287,121187,3.5,8.9,893.23743,0,0,27,"CLAY",27027,1.41027,14,1.28093384546206
"127",126,5207,"MN","MN",27,56549,2,1,0,4,"Y",NA,1,3,28,755,935,122187,122387,26.6,2.5,1024.442902,2,0,27,"CLAY",27027,1.41027,14,3.2846635654062
"128",127,5208,"MN","MN",27,56549,2,0,0,0," ",NA,4,3,33,1140,0,122987,123187,1.5,20.9,990.411554,0,0,27,"CLAY",27027,1.41027,14,0.470003629245736
"129",128,5209,"MN","MN",27,56560,2,1,0,2,"Y",NA,2,3,22,715,715,120287,121187,13,3.2,921.864905,0,0,27,"CLAY",27027,1.41027,14,2.57261223020711
"130",129,5210,"MN","MN",27,56560,2,1,0,4,"Y",NA,4,3,22,2100,2300,122087,122287,8.8,5.2,990.411554,0,0,27,"CLAY",27027,1.41027,14,2.18605127673809
"131",130,5211,"MN","MN",27,56560,2,1,0,4,"Y",NA,3,3,23,1130,1130,31988,32188,19.5,2.8,1071.318034,0,0,27,"CLAY",27027,1.41027,14,2.97552956623647
"132",131,5212,"MN","MN",27,56560,2,1,1,3,"N",NA,4,3,36,1000,1000,11988,12188,2.5,11.4,990.411554,0,0,27,"CLAY",27027,1.41027,14,0.955511445027436
"133",132,5213,"MN","MN",27,56560,2,1,0,2,"Y",NA,1,3,44,2200,2200,12488,12688,9,5.1,1024.442902,1,0,27,"CLAY",27027,1.41027,14,2.2082744135228
"134",133,5214,"MN","MN",27,56560,2,1,0,7,"Y",NA,2,3,46,1600,1600,12688,12888,13.1,3.4,921.864905,0,0,27,"CLAY",27027,1.41027,14,2.58021682959233
"135",134,5215,"MN","MN",27,56560,2,2,0,4,"Y",NA,5,3,47,1430,1430,20288,20288,3.6,7,893.23743,0,0,27,"CLAY",27027,1.41027,14,1.30833281965018
"136",135,5216,"MN","MN",27,56560,2,0,1,0," ",NA,2,3,2,719,1300,22888,30388,6.9,5.2,921.864905,0,0,27,"CLAY",27027,1.41027,14,1.94591014905531
"137",136,5217,"MN","MN",27,56621,2,1,1,3,"N",NA,2,3,23,800,800,121487,121687,4.8,7.7,921.864905,0,0,29,"CLEARWATER",27029,0.941896,15,1.58923520511658
"138",137,5218,"MN","MN",27,56621,2,1,0,4,"Y",NA,5,3,37,1000,1000,122887,123087,3.4,8.9,893.23743,0,0,29,"CLEARWATER",27029,0.941896,15,1.25276296849537
"139",138,5219,"MN","MN",27,56621,2,3,1,7,"N",NA,4,3,39,830,830,31588,31788,0.9,26.9,990.411554,0,0,29,"CLEARWATER",27029,0.941896,15,0
"140",139,5220,"MN","MN",27,56621,2,1,0,2,"Y",NA,5,3,42,1622,2015,11988,12188,3.4,7.4,893.23743,0,0,29,"CLEARWATER",27029,0.941896,15,1.25276296849537
"141",140,5221,"MN","MN",27,55612,1,1,0,4,"Y",NA,3,1,25,1430,1614,121287,121487,2.7,10,348.042925,0,0,31,"COOK",27031,0.603508,16,1.02961941718116
"142",141,5222,"MN","MN",27,55615,1,1,0,4,"Y",NA,1,1,42,1600,1600,11688,11888,1.4,13.8,507.562599,1,0,31,"COOK",27031,0.603508,16,0.405465108108164
